"Year","Country Name","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
2007,"Afghanistan","AFG",121.262,37.4741116086607,,-1.67909630418357,,17.2869746229451,2.041319E9,6.634,2.88405548216645E8,1.0169548110697E10,16.1776529410024,,,9.80198445148925E9,3.06045579650809E10,30.5824848923848,,70.0,56.5929055536929,,24.9407173281385,6.75746309770156,,43.8307317073171,,,32.6071519000142,2.10588798739377,,257.0,,3.95108E9,,,,,57.7365184222676,,6.72902212774721,,37.5851710632008,652090.0,9.0,,
2007,"Albania","ALB",14.16,21.4296517302937,,,,27.8462082101059,2.775868E9,1.873,4.7668E8,1.08312247347093E10,6.0,3360.0,7350.0,1.0512791865795E10,2.30227842058679E10,29.9429410954903,,97.0,54.317957055649,,19.9556814014389,3.1598111878404,,76.4982926829268,,,48.6371590381502,1.79840767581913,73.4247673871445,15.181,,3.0519E8,0.34239375307591,3132458.0,,,,8587.50540310517,,,58.6146668682674,28750.0,36.0,4.14908578928676,1.468E9
2007,"Algeria","DZA",7.339,8.17792509967543,,6.17784917581827,,47.1298698257936,5.540664E9,2.383,1.6646E9,1.34304104724814E11,2.99999999999999,3610.0,7650.0,1.22195605953918E11,2.58946303102235E11,33.6904419814747,,92.0,23.5531153063549,,61.0919805828934,6.79210012490942,10.338916903211,72.250243902439,,,65.3696774047883,2.93798757817369,81.4196204875636,37.0,183.799076173003,3.8979E8,1.49261743944306,3.38526756019577E7,0.1,95.1380535429547,,332.233709744041,40.3774472932024,,30.7300987725309,2381740.0,24.0,,2.12E9
2007,"American Samoa","ASM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67301563412825,65029.3607635464,,,,,,,,200.0,,,
2007,"Andorra","ADO",,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,2.7,,,2.8311345059461,82180.0,,,102.661735565572,,,,,470.0,,,
2007,"Angola","AGO",123.683,9.69786815376102,47.3,,,73.9232069174167,1.2738275E10,5.785,-8.9334E8,5.92634213751206E10,20.279579920195,2590.0,4400.0,4.55085930589368E10,7.72036746562956E10,14.3652729786114,,88.0,40.3977518774727,,72.3986797974221,4.12508375159972,2.83686569634087,46.8014634146342,,,97.9646443841209,3.7837,28.2634764649805,158.0,204.059874057591,2.4119E8,2.68736923022808,1.7554585E7,2.1,,,8430.84584454717,,,17.9034520488169,1246700.0,119.0,10.2432488262148,
2007,"Antigua and Barbuda","ATG",,,,,,,,,3.90946346296296E8,1.15479257219822E9,8.53229596416955,12610.0,19350.0,1.06954780637114E9,1.6414437363637E9,,0.0565124783575453,99.0,,,,8.47470147526349,70.7434213433699,,,,69.6228932672762,,132.503607233154,10.8,,4190000.0,0.848430603279931,84813.5400587651,,97.2921914357683,95.0220572875068,613.109651642539,,,,440.0,21.0,,2.3512E7
2007,"Argentina","ARG",56.9,9.39487471301088,,,,24.6265468941767,1.27758152E11,2.254,6.46221E9,2.62450806576364E11,8.65333684642083,6040.0,12970.0,2.3873326402811E11,5.12408064974433E11,24.2009503504714,6.62368652660701,99.0,20.3371259842742,,33.7362018117639,14.1649276632303,25.9380936032738,75.2185365853659,,33.0287420834341,38.2874037656128,0.749825379800461,102.27399274579,16.3,116.166077738516,8.202E7,0.938917246582669,3.95034660477389E7,0.5,,,6986.72870037432,,,56.8689234752252,2780400.0,31.0,12.9990555503273,6.0661E8
2007,"Armenia","ARM",35.706,20.2820602192449,,-0.566994820446348,,19.1894053167467,2.888062E9,1.735,6.9881E8,9.2044729303087E9,13.7,2580.0,5740.0,7.91161866395498E9,1.76359883178137E10,37.7899739829511,2.02760242914245,92.0,39.1584900031159,,43.9088082785996,4.25743573711026,,73.3953658536585,,1.14074972890901,48.0212178738165,3.04255824394972,61.0721411251607,24.3,,3.5155E8,0.129459342205467,3072450.0,0.1,97.5367682399308,104.422217047594,2952.36700353138,20.9602968559956,,35.8091315021555,29800.0,18.0,7.04672482041183,8.45865E8
2007,"Aruba","ABW",33.439,,,,,,,1.738,-1.16160051322566E8,,,,,,,,0.093171928414204,,,,,,23.0379358009522,74.6404878048781,,,,,139.983297496544,,192.481111029081,,1.42891339463077,104176.0,,98.6147757255937,100.673573510894,,,,,180.0,,,1.2561E7
2007,"Australia","AUS",14.896,,,1.67490059043258,,20.6273656990611,,1.931,3.95962199075264E10,8.2097354165031E11,3.30001215092035,35760.0,33400.0,7.51518844186445E11,7.01950796422013E11,27.4805532125691,13.5226740143175,94.0,21.8473443922293,,,4.63226158556375,53.2952652867,81.2926829268293,,158.157234323279,37.3573992326826,1.97652423221769,101.165833928147,5.7,152.391140331552,,1.52042226074448,2.1015E7,0.2,,97.4918886836655,23411.8486795146,27.4812226372655,,,7741220.0,2.0,,3.82839E9
2007,"Austria","AUT",12.779,1.94127332713244,,-0.855875597289464,,58.8590648085428,,1.38,3.07168498614728E10,3.73192406657177E11,3.35482478713357,41970.0,36750.0,3.48968487465682E11,3.05585475953451E11,20.8429038399262,11.3045566954448,79.0,51.5702721208438,,31.1858293967154,2.29604922005144,67.3651515430296,80.0317073170732,,61.2840478316848,87.6359346937184,0.941066706079489,119.200132476661,4.4,,,0.397678512654407,8315427.0,0.2,102.231993018729,97.2331971123601,6614.2123549398,37.1034326196605,,66.8728972761521,83870.0,28.0,,2.96477E9
2007,"Azerbaijan","AZE",33.849,5.90592094460309,,,,68.129739214943,3.021415E9,2.0,-4.74888E9,3.3049963583394E10,25.049,2710.0,6630.0,2.32411034338042E10,5.68712185605215E10,20.1142413878213,3.93729582614319,97.0,28.5131963193294,,68.5135448850671,20.9840366340144,10.7979241789015,67.380243902439,,,82.6455857691901,2.86308663305243,52.6611475981611,39.3,,2.2528E8,1.13361074769076,8581279.0,0.2,113.342489530759,96.6898727976726,945.663228057263,,,25.5805341703298,86600.0,36.0,0.696716196359243,1.2873E9
2007,"Bahamas, The","BHS",52.976,,,,,,,2.022,7.1334E8,6.570999808E9,2.79579520225525,,,,,,1.31951247233758E-4,96.0,,,,2.48973560333252,36.2384080917559,73.3958536585366,,,57.1937316970319,0.88723180190968,112.942736565905,13.4,,,1.17293572592797,331140.373760788,3.0,97.3007712082262,101.405051433459,60.3973468195931,,,,13880.0,31.0,,
2007,"Bahrain","BHR",16.732,,,,,,,2.292,1.75604655733518E9,,,,,,,,0.0458083501097161,99.0,,,,,33.2098383168582,75.8309756097561,,,,,148.248718246455,10.18,119.726403340605,,1.86047496210377,752788.970589759,,,,5.31357413069731,,,,710.0,9.0,,
2007,"Bangladesh","BGD",71.608,19.2434650141206,18.0,-1.33253403499727,55.8,19.7766917282094,2.2033403E10,2.358,6.5282E8,6.84154213727194E10,6.42784252079143,480.0,1340.0,7.49327855480065E10,2.11439535559746E11,24.4641801535694,,88.0,26.7024271451155,,28.377570491992,6.78645029797174,0.316952163652392,65.9551219512195,,9.92938414131993,45.3833351852757,1.20101109705046,21.7872917294655,60.5,69.0730452198264,1.50212E9,1.46190786923124,1.57752512E8,,,107.404678166227,665.599543670024,10.2526709136468,,52.3789644938873,144000.0,74.0,3.89620881028222,6.562317E9
2007,"Barbados","BRB",42.7,,,,,,,1.525,,3.409E9,,,,,,,9.9725076441798,75.0,,,,,,76.9065853658537,,164.249926664711,63.8086095629217,,,11.6,114.228426341056,1.365E7,0.256867811116496,254543.0,1.2,94.6305156831473,101.274827433214,314.288744927183,,,,430.0,,,1.4E8
